state	file	method	image	upgraded_from	hub_digest
0.0.8	0.0.8.replay.sql.gz	replay	-	-	-
0.0.9	0.0.9.replay.sql.gz	replay	-	-	-
0.1.4	0.1.4.replay.sql.gz	replay	-	-	-
0.1.9	0.1.9.replay.sql.gz	replay	-	-	-
0.2.1	0.2.1.replay.sql.gz	replay	-	-	-
0.4.0	0.4.0.replay.sql.gz	replay	-	-	-
0.5.3	0.5.3.replay.sql.gz	replay	-	-	-
0.6.0	0.6.0.replay.sql.gz	replay	-	-	-
0.7.1	0.7.1.replay.sql.gz	replay	-	-	-
0.8.0	0.8.0.replay.sql.gz	replay	-	-	-
0.8.1	0.8.1.replay.sql.gz	replay	-	-	-
0.8.3	0.8.3.replay.sql.gz	replay	-	-	-
0.9.0	0.9.0.image.sql.gz	image	0.9.0	-	sha256:53c3fdbee085af2704444a43aa8f7a5a2eedccdd7603da374e14180d48de6c23
0.9.3	0.9.3.image.sql.gz	image	0.9.3	-	sha256:80b0316385d73e623497bad8fdd9e4f4914e8ea0cc2ef9cccaa185b8e3d3c72d
0.9.5	0.9.5.image.sql.gz	image	0.9.5	-	sha256:fa6f242a60ff792705006f08250d6ad98330133c9df7d6c758ddff8297427573
0.9.9	0.9.9.image.sql.gz	image	0.9.9	-	sha256:b373a30334cc1a9a1f1ac23581eb346f654d6a9e5ed285e7b331100e1f7db8cc
0.9.12	0.9.12.image.sql.gz	image	0.9.12	-	sha256:b3a8ba47cc8ae948a8f859d4b6cabf92d2048ffa74888fe3f014db779eb2d624
0.12.0	0.12.0.image.sql.gz	image-sibling	0.12.1	-	sha256:2370066c1d6410199ad56c2bf9ed9ecd3133dc21acb926b5a2aa548bf94764b7
0.15.8	0.15.8.image.sql.gz	image	0.15.8	-	sha256:13db8efc41b9a9b7b6e2262954fbf6b8eca2efb3947d2eb7f10616473c07f42d
0.16.0	0.16.0.image.sql.gz	image	0.16.0	-	sha256:94c957f8f396443143c9c289b26018893600cf06981a51d8e757b0e8f75fc73c
0.18.0	0.18.0.image.sql.gz	image	0.18.0	-	sha256:950fe70f12b44954f5f26a1f930e1ddd01f661ad866fe060e654d5fc0acb651f
0.19.2	0.19.2.image.sql.gz	image	0.19.2	-	sha256:165286c8ddc13b5ce17c18eae01415e52664a362d8e94f8b2423d7a6a1d8d813
0.19.3	0.19.3.image.sql.gz	image	0.19.3	-	sha256:a2593665209ccbf6203c59b45c33bf98a5bc203b5a6e517142f9c4b5598c2bb2
0.19.4	0.19.4.image.sql.gz	image	0.19.4	-	sha256:1a3c27fecf8c0b4c86ab19bcf11e965a4d8a3b4d5c24a2ab28cf9bd9455d129e
0.19.6	0.19.6.image.sql.gz	image	0.19.6	-	sha256:14b2123a58300b814755bb0069dd4037e7040c5e60f64d210a580a47c78472aa
0.21.3	0.21.3.image.sql.gz	image	0.21.3	-	sha256:3d2317dc768dab36d471ded64ad9f0d91708b28def044010a98af417ae27dc63
0.23.0	0.23.0.image.sql.gz	image	0.23.0	-	sha256:c39a8ff51bdaec0b892da64103f34c17232f11e6d4c9929c03cf5fd4b663e370
0.23.5	0.23.5.image.sql.gz	image	0.23.5	-	sha256:04ca45fb76f55c7738c72cdfa8258b7b368a8c2e40e7d00161c6237340b95e5c
0.23.6	0.23.6.image.sql.gz	image	0.23.6	-	sha256:42ed13ffda8eb70f81991d49256f894bc5a0effaba8cdc95b1d2c2256eb82a7a
0.25.0	0.25.0.image.sql.gz	image	0.25.0	-	sha256:0932ae69616a2e5f90d2a29bc4a8e2f45279455461291bb9f59d2d0e0e3b8db3
0.25.4	0.25.4.image.sql.gz	image	0.25.4	-	sha256:bee3ddd092008d4e035ab0f8be0f1eff7ad7496767066e8e2738d59df301a692
0.26.1	0.26.1.image.sql.gz	image	0.26.1	-	sha256:0bf818ec507cb4cf578cd59d97a99617ea09e7eb4d99a8563ee87267a17892ec
0.26.2	0.26.2.image.sql.gz	image	0.26.2	-	sha256:e07179d43b8c58c662ab5c289b7e075b18b2e647bd679eade13cbe5dbf32a3e5
0.29.0	0.29.0.image.sql.gz	image-sibling	0.29.1	-	sha256:d1e50f6bcd7807a223a530304d725e5d999221381e4d2f9dd813535261ddeff6
0.30.0	0.30.0.image.sql.gz	image	0.30.0	-	sha256:e45dec263219ce1c098da50da59210262f6de69ca391080c83d8e7bb5ad123ee
0.30.1	0.30.1.image.sql.gz	image	0.30.1	-	sha256:1c33a2f1f907ff19d85c476ea4dd7d51b60e570a83c92b71821e404a365e7615
0.30.3	0.30.3.image.sql.gz	image	0.30.3	-	sha256:80cc95f09e1ee323d848be159f82b8ad083228dd4224b18be883e0f5093c4122
0.30.6	0.30.6.image.sql.gz	image	0.30.6	-	sha256:e418788411f816b398d1f6ad91464457db4db5a2670da21cf193c786ef9ca26b
0.30.11	0.30.11.image.sql.gz	image	0.30.11	-	sha256:fd57bd1de11d99805a77cf5e43ec78c2ad7fa12e5d5304d67438a295c543094c
0.30.12	0.30.12.image.sql.gz	image	0.30.12	-	sha256:7dbd5e77df52f8fc5bc47d5075fca998d26ee8da449a9733c9cf3cc939b137cb
0.32.0	0.32.0.image.sql.gz	image	0.32.0	-	sha256:4cb9bd4e05dbea4cf5176c2d07c613c10bff231e487e2a95ab978fd7e3e7c174
0.33.0	0.33.0.image.sql.gz	image	0.33.0	-	sha256:ea1bcc61d7fd94e59ecee710f6850230d11593a54128cfd1309a14c61cb32fd6
0.34.0	0.34.0.image.sql.gz	image	0.34.0	-	sha256:b132a407d920e5996c18b161740dbe918ab797d522be639fa5c5ea207b11ee0b
0.34.1	0.34.1.image.sql.gz	image	0.34.1	-	sha256:6ce604a67233e781dfd1d6a1c75902a0e2b33bd162f33350966a3c3fd5bda0b5
0.36.0	0.36.0.image.sql.gz	image	0.36.0	-	sha256:660d55f9309f63ad259e021c3e6817245200d5faf2cc44e3b5c7fcef0c79e09d
0.36.2	0.36.2.image.sql.gz	image	0.36.2	-	sha256:c302b2bec65d8523a4b450b859d89ff348170551317254f9fdbbe22005f38d27
0.36.3	0.36.3.image.sql.gz	image	0.36.3	-	sha256:4f83ccbfcbc5166ba9f96ba7571ab0812c2596f99079ceffc7808a3f896bef0b
0.37.0	0.37.0.image.sql.gz	image-sibling	0.37.1	-	sha256:299596d1ddebd47a5baacf271a6d647f7e11d7c13041d5d70430dc61e1be3bd8
0.37.2	0.37.2.image.sql.gz	image	0.37.2	-	sha256:5383151e5a478c62e7c6883a040c686d4083a37c59e9906e0033990532267668
1.0.1	1.0.1.image.sql.gz	image	1.0.1	-	sha256:ce2a337a1c2d521cf7d5265abe5abb1f9a645322e7184b6a20fd8ff59943a9e1
1.0.2	1.0.2.image.sql.gz	image	1.0.2	-	sha256:8ff048f87b09dc4b8f583767384d6cf73d46ecd47cac4ceb28578466ebf264ec
1.1.0	1.1.0.image.sql.gz	image	1.1.0	-	sha256:31aad0680a0da32d60970f0781bdde793b8ba9fc75a744171427767ea0ad358b
1.3.0	1.3.0.image.sql.gz	image	1.3.0	-	sha256:01d6a57a297742e4105c85eb04f6fee06cb0e5daa2750ac0f6c0acd98a96a226
1.3.1	1.3.1.image.sql.gz	image	1.3.1	-	sha256:a3b000a5a85b2997ceb7117cb078f7b8851e5f958c87d5286bf098a6e1e26ea0
1.3.2	1.3.2.image.sql.gz	image-upgrade	1.3.2	1.3.1	sha256:2a8fe8c06fed5f2e7057ee62635690aaaa1019010d800f19485500840a5ba844
1.3.3	1.3.3.image.sql.gz	image	1.3.3	-	sha256:82e82e459511612d9570e414005dc58635e39dfea7cdd2c7f7b5bafb2d2ccc53
1.3.4	1.3.4.image.sql.gz	image	1.3.4	-	sha256:1c9ba9e0bde48688af8253b2a042adbb2fe245b23b61c977b01b227452ab0547
1.4.0	1.4.0.image.sql.gz	image	1.4.0	-	sha256:07adb7643b00d1d8f606c675931d3604317fa3851b91b74ec503df8d50734cb8
1.5.0	1.5.0.image.sql.gz	image	1.5.0	-	sha256:46edcedaabedf5e23d86d0b87cdd7340ec4ef8aed131f2670e2cc62079e33df5
1.6.0	1.6.0.image.sql.gz	image	1.6.0	-	sha256:5cba4d96fb57976fb6a956b8622365789d74a1178cc3ada1cb7541a4473993a9
1.7.0	1.7.0.image.sql.gz	image-upgrade	1.7.0	1.6.0	sha256:7d5f99c61121fcfa4cbdd6a153392630d9f059ffb0156759278d3e049085ec62
1.7.1	1.7.1.image.sql.gz	image-upgrade	1.7.1	1.7.0	sha256:20e2fc135c3724de2a8b447ffc2b062c2ad2b3c631f909efdf132108bb6c14e4
1.7.2	1.7.2.image.sql.gz	image-upgrade	1.7.2	1.7.1	sha256:642c225e9b8f041565e6129871e71eb51e42e95a6c576d0025beff2aa0bcd4a0
1.7.5	1.7.5.image.sql.gz	image	1.7.5	-	sha256:dceef4bf7bd5e6a842d61cdd2a82440a0db34f70dc766e02b0b3b212e13b4ba6
1.7.6	1.7.6.image.sql.gz	image	1.7.6	-	sha256:8133c47e6b72faff53f7c54453176e8489b58f87768262284d1589ea4b34473d
