blob	state	releases	result	diff_lines	snapshot	note
07868dec2781001e737764786b69902cf8df938b	0.0.8	0.0.8	identical	0	-	-
63e83a12d3bb164ac35bbaeee7aa513205320212	0.0.9	0.0.9,0.1.0,0.1.1,0.1.2,0.1.3	identical	0	-	-
741b51af413421ba83331e4863661e33e76136f4	0.1.4	0.1.4,0.1.4.1,0.1.5,0.1.6,0.1.6.1,0.1.6.2,0.1.6.3,0.1.7,0.1.7.1,0.1.7.3,0.1.7.4,0.1.8,0.1.8.1	identical	0	-	-
4b54d2379526578a40dedab55292c81b19e4319b	0.1.9	0.1.9,0.1.9.1,0.2.0	identical	0	-	-
867f1b8780333f3dce9faf1bc346b560f1dee52f	0.2.1	0.2.1,0.2.3,0.2.4,0.2.5,0.3.1,0.3.2	identical	0	-	-
4130dfc1694c0a928492dba25b4ede830ee093c0	0.4.0	0.4.0,0.4.1,0.4.2,0.4.3,0.5.0,0.5.1,0.5.2	identical	0	-	-
4130dfc1694c0a928492dba25b4ede830ee093c0	0.5.3	0.5.3	identical	0	-	-
1dc42fc710024d54486a947937aa595ca84caa26	0.6.0	0.6.0,0.6.1,0.6.2,0.6.3,0.6.4,0.7.0	identical	0	-	-
1a5491d9d2572a4370ba4edd0ffde789b6c189bd	0.7.1	0.7.1	identical	0	-	-
1a5491d9d2572a4370ba4edd0ffde789b6c189bd	0.8.0	0.8.0	identical	0	-	-
dc4f5102b3ca503bdee307b18e40ba98c18e18bb	0.8.1	0.8.1,0.8.2	differs	11	0.8.1.schemarb.sql.gz	-
a56b2bb7a660e0d834d444cb64a4a1b3e50ee12e	0.8.3	0.8.3,0.8.4,0.8.5,0.8.6,0.8.7	differs	11	0.8.3.schemarb.sql.gz	-
19c7f624263be930811874b2f577c98944c10faf	0.9.0	0.9.0,0.9.1,0.9.2	differs	11	0.9.0.schemarb.sql.gz	-
66438cd1f6efb1d912ae7570b824a976590ac210	0.9.3	0.9.3,0.9.4	differs	11	0.9.3.schemarb.sql.gz	-
3011908442ceb3ace6dbd7341ac281fbb9d0bde5	0.9.5	0.9.5,0.9.6,0.9.7,0.9.8	identical	0	-	-
3011908442ceb3ace6dbd7341ac281fbb9d0bde5	0.9.9	0.9.9,0.9.10,0.9.11	identical	0	-	-
7bf01c8046bcd8da9a88b4ec40a0b2bf21d92267	0.9.12	0.9.12,0.10.0,0.11.0,0.11.1	identical	0	-	-
c0a57a1fafd5a23b54b5e464eab1fc02dea5ff02	0.12.0	0.12.0,0.12.1,0.12.2,0.12.3,0.13.0	identical	0	-	-
96ddb71a318adb4685ddd9846b5ae058248a3275	0.12.0	0.13.1,0.13.2,0.13.3,0.13.4,0.13.5,0.13.6,0.13.7,0.14.0,0.14.1,0.14.3,0.14.4,0.14.5,0.14.6,0.14.7,0.15.0,0.15.1,0.15.2,0.15.3,0.15.4,0.15.5,0.15.6,0.15.7	identical	0	-	-
9dbe3d91a46d67ecd0a9b8d06aecfbff388cb0d0	0.15.8	0.15.8	identical	0	-	-
0eb33448a9da6a0e52e35b8ab3b0d80aad9dc495	0.15.8	0.15.9,0.15.10,0.15.11,0.15.12,0.15.13	identical	0	-	-
46ceb3d4e77c9d8aed6d7e5a1c943ecc456453c1	0.16.0	0.16.0,0.16.1,0.16.2,0.16.3,0.16.4,0.16.5,0.16.6,0.16.7,0.16.8,0.16.9,0.17.0,0.17.1,0.17.2	identical	0	-	-
3e1a538f8602deba9a3c4515eac9c7bbce9e3a97	0.18.0	0.18.0,0.18.1,0.18.2,0.19.0,0.19.1	identical	0	-	-
2927e2d56fc8681801f1c50ed803f25c3aade147	0.19.2	0.19.2	differs	18	0.19.2.schemarb.sql.gz	-
2927e2d56fc8681801f1c50ed803f25c3aade147	0.19.3	0.19.3	differs	18	0.19.2.schemarb.sql.gz	-
2927e2d56fc8681801f1c50ed803f25c3aade147	0.19.4	0.19.4,0.19.5	identical	0	-	-
a79c53a9f9a6e51e3c8922b94c4c5875638a0a71	0.19.6	0.19.6,0.19.7,0.20.0,0.20.1,0.20.2,0.21.0,0.21.1,0.21.2	identical	0	-	-
16db42265d7aa56e67207c07a4e811446f00a3ac	0.21.3	0.21.3,0.21.4,0.21.5,0.21.6,0.22.0,0.22.1,0.22.2,0.22.3,0.22.4	identical	0	-	-
8fc8554cc2257e068c20e9e2a44c5e04c941c2b6	0.23.0	0.23.0	identical	0	-	-
c45296875a26e6cfc2e4b81f793c52e9cf9bd2c0	0.23.0	0.23.1,0.23.2,0.23.3	differs	11	0.23.1.schemarb.sql.gz	-
ebf1007e05596d484ce05cc3894e76cecc5520f9	0.23.5	0.23.5	identical	0	-	-
b431351fb01bc62d79ae9afb7dbcf08dd3558a50	0.23.6	0.23.6,0.24.0,0.24.1	identical	0	-	-
7394545662f1f79dd6fca5443e0c025ee201cc0b	0.25.0	0.25.0,0.25.1	differs	10	0.25.0.schemarb.sql.gz	-
562e417cc294c78e9049a22f950c78705ed14e44	0.25.0	0.25.2,0.25.3	identical	0	-	-
68eac3a82130bd5b6765b08a46a82de029e2c1a4	0.25.4	0.25.4,0.25.5,0.25.6,0.25.7,0.25.8,0.25.9,0.25.10,0.26.0	identical	0	-	-
d574fa2892433248ff791747e0d87409a0e611f7	0.26.1	0.26.1	identical	0	-	-
d574fa2892433248ff791747e0d87409a0e611f7	0.26.2	0.26.2,0.26.3,0.26.4,0.26.5,0.26.6,0.26.7,0.27.0,0.27.1,0.27.2,0.27.3,0.27.4,0.28.0,0.28.1	identical	0	-	-
4db0f831e8be561541a9ab611e4f1ae9ee5005d5	0.29.0	0.29.0,0.29.1	identical	0	-	-
837c0927652e396bd990c55fc62ce065e1c330af	0.30.0	0.30.0	differs	11	0.30.0.schemarb.sql.gz	-
402729b96c1922c6510e71d32c1ee78d103a7277	0.30.1	0.30.1,0.30.2	differs	11	0.30.1.schemarb.sql.gz	-
25efe3c28e7dd4d8177c95305beadef9bb84ca2b	0.30.3	0.30.3,0.30.4,0.30.5	differs	11	0.30.3.schemarb.sql.gz	-
feac06e46a6dc9fbc963844e7b22f1186553d2ab	0.30.6	0.30.6,0.30.7,0.30.8,0.30.9,0.30.10	differs	11	0.30.6.schemarb.sql.gz	-
02a2c3be768e4cce97a6f5d3bde069f673020d1d	0.30.11	0.30.11	differs	11	0.30.11.schemarb.sql.gz	-
6cb87072bff188c3c2d5ee69cf39e4aecd1c13a8	0.30.12	0.30.12,0.31.0	identical	0	-	-
cfcab1ea433b92c5286f717bc870ac5740c7596c	0.32.0	0.32.0	identical	0	-	-
d097aca9d4691715cbdfd6c7568c61a6c78b1021	0.33.0	0.33.0,0.33.1	identical	0	-	-
c0f8d0cd5a642a103373462c8e8cc0ab03b3c9be	0.34.0	0.34.0	differs	53	0.34.0.schemarb.sql.gz	-
99e437d8f536f98a6214e1f669c41a6bc7d5a81d	0.34.1	0.34.1,0.34.2,0.35.0,0.35.1	differs	22	0.34.1.schemarb.sql.gz	-
