contended:1.10.1:points	ok	DataMigrations::DropLegacyLatLonJob
contended:1.13.1:points	ok	DataMigrations::AddPointDimensionColumnsJob
contended:1.14.1:points	failed@20260827200000	-
contended:1.14.1:trips	failed@20260827210000	-
contended:1.15.0:points	failed@20260914090000	-
refused:0.0.8	refused	0.0.9
refused:0.34.0.schemarb	refused	0.34.1
refused:0.36.3@20251227000001	refused	0.37.0
rows:1.13.0--no-replacement	failed@20260816120000	-
rows:1.13.0--no-replacement~shifted	failed@20260816120000	-
rows:1.9.1--violation	failed@20260622090000	-
rows:1.9.1--violation~shifted	failed@20260622090000	-
